Number,Address,List Date,Price,Days on market,Total floor area,Year Built,Age,Lot Size
327,125 E 53RD AVENUE,8/22/2019,2388000,8,3493,1991,28,5856
328,3025 WATERLOO STREET,4/14/2020,2250000,10,2259,1990,30,3696
329,5149 FAIRMONT STREET,12/6/2019,1335000,58,1845,1999,21,3267
330,82 E 45TH AVENUE,8/6/2019,1880000,8,2460,1957,62,4032
331,3333 VENABLES STREET,4/6/2020,1357000,25,1993,1999,21,3547.5
332,189 W 46TH AVENUE,4/8/2019,2060000,58,3078,1986,33,5160
333,369 E 34TH AVENUE,2/14/2020,1319000,10,1809,1910,110,3481.5
334,1222 E 61ST AVENUE,7/15/2019,1526000,20,2142,2003,16,3762
335,265 E 36TH AVENUE,4/9/2019,1340000,93,2154,1961,58,3902
336,495 E 61ST AVENUE,2/17/2020,1175000,9,1754,1954,66,3536.57
337,3875 LILLOOET STREET,5/31/2019,1150000,39,1864,1946,73,4120.5
338,125 E 22ND AVENUE,2/18/2020,2000000,6,2179,1905,115,3904
339,7642 OSLER STREET,4/22/2020,1661000,5,1678,1945,75,4356
340,4331 MILLER STREET,6/18/2019,999999,165,1445,1925,94,2788
341,3536 WORTHINGTON DRIVE,2/10/2020,2420000,24,3856,2019,1,4513
342,3962 W 30TH AVENUE,9/19/2019,2898000,6,734,1929,90,6500
343,3454 E 4TH AVENUE,8/20/2019,2060000,5,2908,2018,1,4094.64
344,2496 E 3RD AVENUE,10/17/2019,1850000,5,2466,2003,16,4026
345,92 MALTA PLACE,2/8/2019,1300000,118,1680,1948,71,10287
346,557 E 56TH AVENUE,7/3/2019,1175000,25,2944,1912,107,3564
347,165 E 55TH AVENUE,8/13/2018,1370000,338,1950,1952,67,3882.88
348,3276 E 2ND AVENUE,10/18/2019,1308000,20,1585,1951,68,4960.4
349,2380 E 5TH AVENUE,5/11/2020,1520000,8,2404,1921,99,4026
350,2720 W 6TH AVENUE,5/6/2019,2350000,36,2881,1914,105,2990.36
351,273 E 58TH AVENUE,7/12/2019,1860000,34,2970,2016,3,3692.7
352,6710 BROOKS STREET,5/21/2019,1570000,35,2732,1983,36,4617.54
353,3517 ADANAC STREET,11/18/2019,1380000,82,2109,1988,32,3573.9
354,1170 E 63RD AVENUE,2/21/2020,1455000,12,2426,1966,54,5583
355,401 E 55TH AVENUE,3/26/2019,1750000,85,2537,2012,7,3696
356,3472 TRIUMPH STREET,1/14/2019,1350000,150,2021,1928,91,5856
357,4583 W 14TH AVENUE,2/21/2020,2068000,0,1508,1928,92,4096
358,2866 WATERLOO STREET,11/6/2019,1850000,12,1944,1928,91,4022.9
359,6267 DUNBAR STREET,4/16/2019,1970000,158,1680,1962,57,6830
360,2159 E 13TH AVENUE,3/18/2020,1550000,27,2280,1958,62,4875
361,1410 E 12TH AVENUE,2/18/2020,1161900,60,2508,1911,109,4026
362,2236 E 34TH AVENUE,1/2/2020,1600000,5,2621,1982,38,4026
363,2108 E 54TH AVENUE,7/23/2019,1400000,20,2715,1976,43,4493.7
364,1369 E 37TH AVENUE,11/25/2019,2088000,8,2588,2012,7,3630
365,3262 ONTARIO STREET,12/1/2019,2505000,101,3146,1912,108,2813.58
366,2950 W 15TH AVENUE,2/27/2020,2380000,22,2421,1990,30,4026
367,3125 CHARLES STREET,11/12/2019,1250000,8,1670,1950,69,3630
368,2843 E 5TH AVENUE,7/22/2019,1099000,24,1500,1950,69,4092
369,7425 LABURNUM STREET,4/26/2019,2250000,115,2100,1953,66,6000
370,4081 WELWYN STREET,10/20/2019,1440000,38,2400,1989,30,4224
371,5969 LANCASTER STREET,12/8/2019,1418000,77,2341,1981,39,4026
372,342 W 20TH AVENUE,2/19/2020,2450000,6,2387,1938,82,3795
373,3005 E 3RD AVENUE,2/10/2020,1970000,10,3808,1989,31,6640.2
374,3668 W 3RD AVENUE,4/22/2019,2980000,85,3435,1911,108,3960
375,1025 E 50TH AVENUE,2/13/2020,1728888,14,2288,2003,17,4290
376,790 W 59TH AVENUE,11/27/2019,1950000,3,2634,1993,26,4290
377,5094 ROSS STREET,3/2/2020,1190000,8,880,1946,74,3234
378,2654 E 3RD AVENUE,6/19/2019,1433800,64,1899,1948,71,5696
379,3260 GRAVELEY STREET,5/19/2020,1048000,1,1500,1941,79,3846
380,442 E 50TH AVENUE,8/27/2019,1570000,1,3389,1976,43,5536.96
381,5163 SOMERVILLE STREET,10/8/2019,1370000,29,2363,1971,48,3300
382,7480 MAIN STREET,7/29/2019,1524900,17,2070,2000,19,3465
383,2090 E 5TH AVENUE,5/20/2020,1632000,5,1560,1946,74,4026
384,1931 GARDEN DRIVE,1/27/2020,1512000,7,1814,1964,56,3000
385,7491 LABURNUM STREET,8/1/2019,2400000,20,2568,1953,66,6389
386,3757 W 29TH AVENUE,6/28/2019,2480000,116,3511,1950,69,6450
387,460 E KING EDWARD AVENUE,6/10/2019,1325000,47,1792,1996,23,3200
388,3941 W 24TH AVENUE,3/10/2020,2330000,21,2226,1921,99,4026
389,3218 E 62ND AVENUE,6/19/2019,1550000,33,3479,1973,46,7000
390,2796 E 16TH AVENUE,2/12/2020,1381000,82,1565,1939,81,5478.48
391,3674 ETON STREET,8/13/2019,2199000,10,3262,2014,5,4025
392,6850 LAUREL STREET,6/11/2019,2880000,68,3475,1957,62,8265
393,5407 DUMFRIES STREET,2/25/2020,1680000,47,2790,1956,64,4880
394,3375 EUCLID AVE AVENUE,5/7/2020,1180000,12,2275,1986,34,3630
395,2939 TURNER STREET,2/24/2020,1320000,7,2497,1929,91,4356
396,8056 HAIG STREET,6/2/2018,1480000,540,1633,1948,71,3861
397,2488 HARRISON DRIVE,12/16/2019,2050000,23,3285,1988,32,5400
398,2116 W 46TH AVENUE,2/3/2020,2118000,11,2383,1989,31,3910.5
399,1875 E 39TH AVENUE,9/18/2019,1195000,2,1677,1949,70,3370
400,3336 W 37TH AVENUE,2/4/2019,2368000,150,2807,1922,97,5475
401,2311 CYPRESS STREET,5/15/2020,2560000,6,2338,2007,13,2000
402,473 E 55TH AVENUE,11/1/2019,1475000,23,2346,1930,89,4026
403,5514 CULLODEN STREET,3/23/2020,2040000,8,3571,2014,6,4026
404,3586 BELLA-VISTA STREET,10/23/2019,1718000,6,3271,1910,110,4080
405,3598 DUNDAS STREET,5/6/2019,1500000,38,2325,1937,82,4026
406,6181 SHERBROOKE STREET,8/19/2019,1552888,6,2709,1970,49,5700
407,653 W 18TH AVENUE,1/17/2020,2200000,7,2400,1987,33,4026
408,3562 E GEORGIA STREET,8/19/2019,1148000,63,1613,1909,110,3597
409,6589 KILLARNEY STREET,6/6/2019,1588000,9,3066,1986,33,6325.5
410,2495 E 34TH AVENUE,10/8/2019,1558800,47,1991,2011,8,3640
411,2880 E 22ND AVENUE,3/5/2020,1268000,5,2423,1961,59,3960
412,773 E 59TH AVENUE,6/4/2019,1385000,144,2400,1993,26,3974
413,2243 RENFREW STREET,12/2/2019,1364000,125,2650,1940,80,4026
414,186 W 22ND AVENUE,2/20/2020,2830000,4,2812,1978,42,4900.5
415,1559 E 41 AVENUE,5/28/2019,965000,54,1600,1949,70,3300
416,2283 E 38TH AVENUE,9/5/2019,1731000,3,3715,1985,34,6230
417,2754 E 27TH AVENUE,8/12/2019,1650000,8,2693,2012,7,3696
418,4334 ST. CATHERINES STREET,10/15/2019,1650000,8,2653,1988,31,4379.2
419,3154 E 4TH AVENUE,7/30/2019,1372000,13,2493,1980,39,4154
420,3075 W 5TH AVENUE,5/22/2019,2420000,100,3227,1926,93,3630
421,6612 KILLARNEY STREET,9/9/2019,1850000,1,2479,1957,62,7052
422,2208 E 42ND AVENUE,7/4/2019,1320000,103,1746,1993,26,3024.84
423,3611 OXFORD STREET,10/11/2019,1590000,4,2802,1980,39,4519.2
424,2965 E 6TH AVENUE,11/12/2019,1668000,15,2475,2001,18,4026
425,2142 E 49TH AVENUE,11/12/2019,1480000,6,2636,1976,43,4521
426,1279 E 53 AVENUE,5/24/2019,1150000,22,1907,1962,57,3696
427,5874 INVERNESS STREET,7/8/2019,1080000,36,2206,1914,105,4035.9
428,7899 HEATHER STREET,10/15/2019,1748000,56,2409,1962,57,4773.6
429,172 E 60TH AVENUE,10/17/2019,2330000,46,4244,2014,5,4715
430,3198 E 1ST AVENUE,7/18/2018,1250000,492,2184,1956,63,4397.67
431,1926 E 36TH AVENUE,8/30/2019,1640000,4,2607,1914,105,3488
432,7972 SOPHIA STREET,4/9/2019,1500000,78,3108,1960,59,4026
433,1525 E 55TH AVENUE,7/9/2019,1365000,28,1334,1954,65,4707
434,3592 PETERSHAM AVENUE,9/9/2019,1700000,49,2714,1997,22,4476
435,3189 CROWN STREET,6/28/2019,2910000,175,2680,2013,7,4000
436,142 E 43RD AVENUE,2/11/2020,1250000,7,3044,1960,60,3551.8
437,5995 BEATRICE STREET,7/3/2019,1338000,4,2387,1977,42,3960
438,220 E 54TH AVENUE,3/7/2020,1320000,6,1438,1941,79,3894.4
439,2948 W 21ST AVENUE,1/20/2020,2761000,7,2704,1992,28,4514
440,2795 W 31ST AVENUE,5/13/2019,2730000,22,2800,1940,79,7297.36
441,2564 W 12TH AVENUE,8/29/2019,2250000,6,3342,1912,107,6250
442,3228 CHARLES STREET,2/18/2020,1560000,6,2456,1993,27,4191
443,2804 W 34TH AVENUE,5/13/2019,2198000,28,2296,1943,76,4927
444,2059 CHARLES STREET,10/23/2019,1465000,6,1397,2019,0,2332.11
445,118 TEMPLETON DRIVE,9/23/2019,1385000,66,2366,1913,106,3019.5
446,3265 E 21ST AVENUE,3/2/2020,1300000,7,2248,1966,54,3630
447,1610 E 59TH AVENUE,5/28/2019,2133000,111,3432,2019,0,3889.05
448,3494 DIEPPE DRIVE,5/1/2019,1545000,90,2360,2003,16,4620
449,3092 E 5TH AVENUE,10/7/2019,1280000,4,2368,1961,58,4026
450,1920 CHARLES STREET,8/19/2019,1050000,50,2610,1912,107,2978
451,2976 E 42ND AVENUE,5/25/2020,1557000,2,1590,1947,73,4878.8
452,2794 PANDORA STREET,4/6/2020,1224000,5,2210,1911,109,4026
453,442 E 15TH AVENUE,1/20/2020,1467500,8,1595,1912,108,2762
454,1437 E 63RD AVENUE,1/7/2020,1500000,2,2420,1959,61,5540
455,4391 ST. CATHERINES STREET,4/27/2020,1460000,2,974,1946,74,3729
456,5883 DUMFRIES STREET,7/29/2019,2195000,2,3850,2017,2,4067.25
457,7250 GLADSTONE STREET,5/22/2019,2238095,76,4012,2018,1,4955.72
458,1462 E 20TH AVENUE,2/21/2020,1460000,4,2591,1963,57,3960
459,7142 INVERNESS STREET,5/10/2019,2180952,101,3857,2018,1,4567
460,2690 WILLIAM STREET,11/13/2019,1130000,25,825,1944,75,3564
461,605 E 48TH AVENUE,1/14/2019,1320000,182,3316,1910,109,3762
462,5829 FLEMING STREET,5/11/2020,2175000,11,3415,2016,4,4108
463,4084 W 14TH AVENUE,6/3/2019,2320000,31,2404,1926,93,4026
464,6570 NANAIMO STREET,6/20/2019,1300000,25,2411,1964,55,4356
465,6207 ELGIN STREET,8/20/2019,1450000,96,2802,1971,48,5456
466,770 E 24TH AVENUE,3/9/2020,1558000,8,2232,1913,107,2218.75
467,2033 E 35TH AVENUE,11/7/2019,1343000,2,2112,1928,91,4870.68
468,4312 DUMFRIES STREET,11/12/2019,1625000,6,2371,1968,51,5154.68
469,2848 W 23RD AVENUE,7/16/2019,2350000,89,2832,1947,72,5368
470,7857 NANAIMO STREET,5/29/2019,1445000,96,1490,1954,65,5880
471,2880 LAKEWOOD DRIVE,5/10/2019,1150000,55,1950,1928,91,4636
472,6255 BROOKS STREET,6/28/2019,2300000,90,3668,2011,8,5244.75
473,5828 ORMIDALE STREET,9/23/2019,1669500,12,2738,1997,22,4574.12
474,4825 ROSS STREET,3/10/2020,1631000,2,1980,2002,18,3597.75
475,2028 E 27TH AVENUE,2/20/2019,950000,115,2009,1912,107,4204.2
476,3678 E 25TH AVENUE,2/21/2019,1200000,142,2098,1954,65,5127.98
477,3465 E 50TH AVENUE,3/5/2020,1549000,7,2834,1971,49,5884.53
478,152 W 48TH AVENUE,3/6/2020,2880000,8,2957,2016,4,4027
479,2610 DUNDAS STREET,5/8/2019,1050000,112,1473,1926,93,4026
480,2731 NANAIMO STREET,8/12/2019,1900000,73,2713,1998,21,4552.35
481,1095 E 39TH AVENUE,7/30/2019,1410000,3,2096,1995,24,3998.32
482,2688 E 21ST AVENUE,8/19/2019,1800000,94,2497,2013,6,3633
483,2707 E GEORGIA STREET,11/29/2019,1405000,12,2686,1974,45,4026
484,3504 W 24 AVENUE,10/9/2019,2100000,12,1962,1978,41,3904
485,4975 ELGIN STREET,9/24/2019,1500000,5,2100,2002,17,3300
486,5195 HOY STREET,12/3/2019,999000,76,2000,1912,108,3863
487,644 HAWKS AVENUE,11/12/2019,2040000,13,2506,1905,114,6100
488,444 E 38TH AVENUE,2/7/2020,1420000,0,1315,1913,107,3894.58
489,1626 E 56TH AVENUE,3/10/2020,1480000,7,2246,1954,66,5190
490,2137 W 22ND AVENUE,8/19/2019,2760000,2,3367,1920,99,6100
491,187 E 39TH AVENUE,9/13/2019,1228800,4,1054,1947,72,3437.2
492,895 E 58TH AVENUE,10/4/2019,1590000,35,2715,1993,26,3828
493,993 BROUGHTON STREET,4/3/2019,2600000,192,4026,1905,114,2882
494,850 W 32ND AVENUE,11/29/2019,2602000,42,2772,1956,64,7650
495,6182 BEATRICE STREET,2/24/2020,1610000,7,2343,1985,35,3877.5
496,5918 SHERBROOKE STREET,7/4/2019,1262000,3,2167,1965,54,4042
497,6869 DOMAN STREET,11/4/2019,1450000,2,2570,1953,66,4840
498,1034 E 37TH AVENUE,2/11/2020,1538000,9,2320,1983,37,4026
499,1215 E 62ND AVENUE,1/16/2020,1353777,0,2642,1966,54,3781.95
500,1303 E 51ST AVENUE,3/16/2020,1514000,7,2376,1983,37,4010
501,643 E CORDOVA STREET,1/29/2020,1233000,21,2272,1901,119,3172
502,111 E 24TH AVENUE,2/17/2020,1383000,7,1512,1910,110,2450.32
503,6574 VINE STREET,11/20/2019,2050000,20,2141,1978,41,3453.08
504,1648 W 63RD AVENUE,10/8/2019,1500000,2,1950,1930,89,3828
505,408 E KING EDWARD AVENUE,5/19/2020,1350000,6,2182,1984,36,3623
506,5038 ANN STREET,6/16/2019,1120000,4,2168,1969,50,3493.05
507,3549 HAIDA DRIVE,12/6/2019,2243286,1,3788,2018,1,4510
508,3167 E GEORGIA STREET,2/21/2020,1200000,6,2070,1912,108,3630
509,2858 E 4TH AVENUE,5/7/2020,1250000,7,1868,1927,93,4092
510,31 W 63RD AVENUE,3/3/2020,1812000,6,2244,1967,53,3869.25
511,3551 FLEMING STREET,5/19/2020,2262500,2,1850,2017,3,2722.5
512,496 E 47TH AVENUE,9/8/2019,1581000,10,2378,1959,60,5014.26
513,4277 KEVIN PLACE,7/30/2019,2770000,10,3359,1971,48,8133
514,237 E 20TH AVENUE,9/16/2019,2825000,7,3960,1905,114,6049.95
515,3532 PRINCE EDWARD STREET,11/27/2019,1600000,5,1694,1910,109,1952
516,3350 W 38TH AVENUE,4/19/2019,2800000,105,3502,1922,97,5475
517,780 W 60TH AVENUE,5/1/2019,3000000,218,3296,2009,10,5494
518,8507 FREMLIN STREET,1/1/2020,1500000,37,2165,1915,105,4048.11
519,4015 GLEN DRIVE,12/9/2019,2150000,48,2960,1927,93,6235
520,6358 WINDSOR STREET,2/18/2020,1266000,7,1787,1931,89,4026
521,2242 GRANT STREET,5/27/2019,1660000,8,2308,1964,55,3669.6
522,1629 E 13TH AVENUE,5/6/2019,1627500,105,2417,1912,107,4026
523,3483 W 18TH AVENUE,3/10/2020,2650000,7,2308,1989,31,3840
524,3525 E GEORGIA STREET,2/10/2020,1051525,91,2541,1912,108,3564
525,156 E 19TH AVENUE,5/13/2019,2521000,35,2849,2006,13,4432
526,2522 TURNER STREET,8/30/2019,2239047,189,2858,2019,1,3531
527,3408 W 37TH AVENUE,3/12/2020,2520000,2,2751,1987,33,5475
528,6869 NANAIMO STREET,6/4/2019,2040000,47,2874,2015,4,3978
529,4495 W 7TH AVENUE,7/15/2019,2560000,62,2250,1991,28,3719
530,3924 W 24TH AVENUE,8/30/2019,2223000,1,985,1940,79,5128
531,508 E 61ST AVENUE,2/18/2020,2100000,62,2863,2020,0,3465.82
532,4918 WALDEN STREET,9/20/2019,1430000,5,1720,1929,90,4026
533,1343 W 64TH AVENUE,5/21/2019,1780000,16,2228,1989,30,3668
534,1222 E 12TH AVENUE,9/3/2019,1690000,88,3210,1911,108,6350
535,5874 BATTISON STREET,5/15/2019,2300000,50,3878,2018,1,4636
536,2778 E 41ST AVENUE,7/18/2019,815000,11,1074,1916,103,3349
537,3530 W 13TH AVENUE,3/2/2020,2478000,36,2475,1995,25,4026
538,2848 PANDORA STREET,9/3/2019,1250000,3,2793,1912,107,4026
539,3954 W 30TH AVENUE,2/18/2020,2960000,2,2473,1955,65,6508.5
540,3691 E GEORGIA STREET,11/6/2019,1930000,164,3522,2017,3,4070
541,3612 ETON STREET,7/2/2019,1295000,7,2163,1975,44,4023
542,4508 PRINCE ALBERT STREET,9/16/2019,2135000,2,2095,2019,0,2842
543,980 W 20TH AVENUE,6/4/2019,2400000,2,2849,1924,95,4026
544,365 E 24TH AVENUE,8/15/2019,1425000,8,2040,1925,94,4045.84
545,2597 E KENT NORTH AVENUE,3/25/2020,1520000,15,2511,1990,30,4240
546,7610 CARTIER STREET,4/23/2019,2830000,261,3426,2018,2,4970
547,5292 ST. CATHERINES STREET,9/25/2019,2223810,69,2301,2019,0,3300
548,2536 E 29TH AVENUE,8/23/2019,1375000,59,2516,1958,62,5019.4
549,6726 RUPERT STREET,5/27/2019,2160000,287,4387,2001,19,7313
550,6489 ONTARIO STREET,2/1/2019,1820000,212,2174,1996,23,3524.4
551,3484 DIEPPE DRIVE,4/4/2019,1190000,118,2250,1948,71,4620
552,3126 W 32ND AVENUE,1/3/2020,2920000,35,2873,1938,82,6500
553,2245 WILLIAM STREET,9/9/2019,1215000,30,1964,1929,90,4026
554,578 E 10TH AVENUE,2/18/2020,2175000,26,3264,1980,40,6000
555,1153 E 11TH AVENUE,5/15/2020,1602000,4,1620,1956,64,4026
556,2632 NAPIER STREET,5/25/2020,1510000,6,2505,1968,52,3630
557,614 E 14TH AVENUE,3/19/2020,1349000,4,2218,1910,110,2583
558,1727 E 29TH AVENUE,8/30/2019,1350000,4,2536,1986,33,3976.5
559,5014 WINDSOR STREET,5/5/2020,2475000,13,3361,2018,2,4851
560,2242 E 52ND AVENUE,5/27/2020,1438000,5,1690,1953,67,4322.01
561,2102 E 54TH AVENUE,5/13/2019,1295000,51,2004,1989,30,3034
562,3536 W 13TH AVENUE,2/14/2020,2408000,10,2429,1927,93,4026
563,2559 KITCHENER STREET,5/27/2019,2575000,12,3385,2017,2,5080
564,4866 MANOR STREET,3/16/2020,997000,47,1747,1911,109,3267
565,3007 W 36TH AVENUE,2/19/2020,2900000,5,2745,1932,88,6095.7
566,6295 DOMAN STREET,11/8/2019,1551000,113,2400,1955,65,6338
567,4263 QUEBEC STREET,6/13/2019,2476190,41,2564,2019,0,3812.5
568,4518 JAMES STREET,4/17/2020,2520000,2,2290,1988,32,3422.13
569,2176 E 8TH AVENUE,5/4/2020,1600000,23,2964,1984,36,4191
570,703 HEATLEY AVENUE,5/11/2020,750000,10,1153,1901,119,1525
571,772 E 59TH AVENUE,4/15/2019,1565000,157,2204,2008,11,4026
572,8268 ELLIOTT STREET,3/18/2020,1935000,1,3060,1967,53,10348
573,3505 WORTHINGTON DRIVE,11/18/2019,1413000,62,1668,1948,72,4510
574,525 E 55TH AVENUE,6/19/2019,1150000,6,1539,1946,73,4035
575,3176 CHARLES STREET,5/1/2019,1635000,41,3036,1987,32,5080
576,3332 DEERING ISLAND PLACE,6/1/2019,2800000,138,3422,1992,27,8783
577,2855 NANAIMO STREET,1/25/2020,1075000,6,1800,1956,64,3847.8
578,2281 E 34TH AVENUE,2/25/2020,1360000,7,2200,1912,108,3795
579,7650 FRENCH STREET,4/3/2019,2230000,119,3669,1990,29,5850
580,4703 COLLINGWOOD STREET,9/3/2019,2353000,85,2475,1938,81,4191
581,2642 OXFORD STREET,8/19/2019,1333780,6,1882,1923,96,4026
582,3027 E 20TH AVENUE,9/17/2019,1330000,6,2444,1968,51,3638.02
583,2558 TURNER STREET,7/16/2018,1270000,435,2220,1922,97,3547.5
584,624 E 11TH AVENUE,10/15/2019,1663000,9,2932,1914,105,4026
585,747 E 60TH AVENUE,7/7/2019,1040000,42,2246,1938,81,4026
586,615 E 63RD AVENUE,7/12/2019,1448000,41,2770,1976,43,6226
587,1610 SEMLIN DRIVE,10/23/2019,1490000,3,1967,1910,109,2013
588,3580 POINT GREY ROAD,11/12/2019,2500000,3,2060,1937,83,2864.4
589,3066 E 26TH AVENUE,8/6/2019,1976190,90,3199,2019,0,3563.35
590,2590 PARKER STREET,9/16/2019,1248500,29,1821,1944,75,3564
591,4226 RUPERT STREET,12/2/2019,1475000,7,2780,1977,43,4480
592,1655 E 11TH AVENUE,7/9/2019,1290000,3,2067,1941,78,4026
593,2734 W 5TH AVENUE,1/9/2020,1750000,28,2650,1911,109,3740
594,3176 TRIMBLE STREET,6/11/2019,1600000,65,1592,1949,70,4026
595,3989 W 29TH AVENUE,11/20/2019,2850000,3,2438,1942,77,6162
596,73 E 57TH AVENUE,5/25/2020,1350000,2,1588,1949,71,3409.89
597,3515 W 22ND AVENUE,1/29/2020,2910000,31,2907,2000,20,4026
598,2579 ETON STREET,3/19/2020,1300000,40,2322,1928,92,4026
599,3406 W 29TH AVENUE,10/21/2019,2075000,21,1850,1924,95,4298.25
600,2106 E 5TH AVENUE,8/6/2019,1475000,9,1585,1945,74,4026
601,2517 E 5TH AVENUE,10/8/2019,1335000,9,2301,1956,63,4022
602,3663 W 12TH AVENUE,6/20/2019,1880000,55,2547,1928,91,4028.64
603,3842 W 26TH AVENUE,6/27/2019,2600000,93,2648,1925,94,6440
604,5212 HOY STREET,6/22/2019,1030000,146,1800,1957,62,3785
605,7799 BIRCH STREET,6/10/2019,2988000,80,3399,2016,3,4043
606,1959 W 43RD AVENUE,10/23/2019,2800000,155,2850,1926,94,5904
607,2092 NANAIMO STREET,9/24/2019,999000,6,1400,1940,79,3168
608,3217 W 33RD AVENUE,5/28/2019,2568000,18,3001,2011,8,4290
609,2714 W 32ND AVENUE,6/20/2019,2480000,47,2362,1932,87,4298.25
610,6779 LANCASTER STREET,2/18/2020,1588000,15,2630,1969,51,4720
611,360 E 46TH AVENUE,10/23/2019,1675000,16,2474,1979,40,4026
612,618 E 52ND AVENUE,10/2/2019,2200000,53,3300,2018,1,3965
613,2731 E 8TH AVENUE,7/17/2019,1425000,2,2302,1981,38,4026
614,379 E 32ND AVENUE,6/5/2019,1680000,7,1816,1948,71,3795
615,3901 TUPPER STREET,8/6/2019,2230000,31,2842,1970,49,3664.65
616,3586 TRINITY STREET,12/5/2019,1310000,66,1210,1936,84,6100
617,4895 MOSS STREET,12/18/2019,925000,74,1930,1905,115,3022.8
618,4795 JOYCE STREET,2/7/2020,1375000,1,2700,1964,56,3696
619,2552 E 54TH AVENUE,8/12/2019,1560000,88,2246,2011,8,3119
620,2656 E 7TH AVENUE,2/10/2020,1494000,8,2266,1958,62,4026
621,506 PENTICTON STREET,10/16/2019,1666000,7,3563,1992,27,5445
622,4680 WALDEN STREET,8/28/2019,1500000,4,1565,1910,109,3696
623,3261 KITCHENER STREET,6/16/2019,1370000,67,2475,1974,45,4191
624,103 W 21ST AVENUE,7/22/2019,2700000,4,3030,1939,80,5313
625,722 E 15TH AVENUE,9/3/2019,1880000,12,2950,1910,109,3230
626,2735 W 32ND AVENUE,7/15/2019,2520888,19,2576,1996,23,4290
627,6944 KNIGHT STREET,3/9/2020,925000,2,900,1957,63,3779.16
628,235 E 62ND AVENUE,8/15/2019,1050000,14,1920,1968,51,3267
629,3235 QUEENS AVENUE,1/9/2020,1610000,37,2950,1984,36,4570
630,3269 E 25TH AVENUE,10/28/2019,1220000,7,2004,1933,86,3960
631,2262 E 48TH AVENUE,12/6/2019,1550000,69,2415,1995,25,4032.6
632,2623 TURNER STREET,10/7/2019,1380000,2,2993,1943,76,5445
633,2802 GRANT STREET,4/1/2020,1845000,7,3144,2004,16,4191
634,3964 W 21ST AVENUE,4/16/2019,2100000,73,1475,1931,88,4026
635,3421 E 4TH AVENUE,1/6/2020,2290000,7,4475,2016,4,5079.9
636,5349 JOYCE STREET,3/21/2019,1300000,146,1648,1953,66,3069
637,3100 BLANCA STREET,4/29/2019,2400000,196,3000,1970,49,6718.25
638,208 W 23RD AVENUE,3/11/2020,2508000,12,2448,1938,82,5346
639,2506 TRIUMPH STREET,11/18/2019,1555000,7,2021,1929,90,4026
640,2120 E PENDER STREET,4/20/2020,1928000,8,2502,1906,114,3267
641,4293 PERRY STREET,2/3/2020,1289000,21,1572,1927,93,4014.67
642,2693 VENABLES STREET,10/24/2019,1130000,4,1275,1930,89,3630
643,2736 W 41ST AVENUE,9/25/2019,1803800,6,1961,1922,97,4353.03
644,2795 NANAIMO STREET,4/14/2020,1410000,4,2441,1931,89,4618.35
645,4167 W 11TH AVENUE,10/22/2019,2300000,107,974,1988,32,4026
646,6468 LABURNUM STREET,6/19/2019,2160000,77,2495,1987,32,4141.5
647,4273 ELGIN STREET,2/11/2020,1400000,4,1585,1948,72,3481.5
648,2987 W 33RD AVENUE,7/2/2019,1870000,42,1814,1940,79,4298
649,2086 PARKER STREET,6/15/2019,2100000,9,2513,1926,93,4636
650,3460 W 12TH AVENUE,3/2/2020,2117000,7,1608,1928,92,4026
651,6158 BRUCE STREET,10/6/2019,1225000,8,1855,2000,19,2992.22
652,4212 WINDSOR STREET,1/18/2019,1165000,129,2120,1989,30,3481.5
653,2555 OXFORD STREET,6/7/2019,2215000,22,2754,2013,6,4554
